Date,날짜,출근 후 오늘 목표,예상 결과물,퇴근 전 오늘 결과물," 내일/다음주 월요일 할 것"
"June 21, 2023 11:35 AM",20230621,"- 업무 인수인계 준비
- 업무 인수인계","- 업무 인수인계 준비
- 업무 인수인계",- 업무 인수인계 준비,
"June 20, 2023 12:12 PM",20230620,"- DM 발송 전 웹툰 그림 작가용 실제 작동 페이지의 사전 기획 
- DM 문구 보완
- DM 문구에 링크 수정
- DM 용 이미지 준비
- DM용 프로그램 세팅 및 테스팅
- 리드 수집 페이지에 웹사이트 알림 가능 여부 확인
- B2C용 가격 적절성 확인
- PaidPoC 가격 제안 메커니즘 수립
- 작가고객(글작가 및 그림작가) 98명을 대상으로 DM 발송","- 저번주 한 일, 이번주 할 일 정리
- 주간보고서 작성
- 대략적으로 보완된 제안서 확인
- DM 문구 보완
- DM 문구에 링크 수정
- DM 용 이미지 준비
- DM용 프로그램 세팅 및 테스팅
- B2C용 가격 적절성 확인
- PaidPoC 가격 제안 메커니즘 수립
- 작가고객(글작가 및 그림작가) 98명을 대상으로 DM 발송 → 당장 못함
- 인수인계를 위한 준비","- 저번주 한 일, 이번주 할 일 정리
- 주간보고서 작성
- 그간 주간보고서 수정
- 대략적으로 보완된 제안서 확인
- DM 문구 보완
- DM 문구에 링크 수정","- DM 용 이미지 준비
- DM용 프로그램 세팅 및 테스팅
- B2C용 가격 적절성 확인
- PaidPoC 가격 제안 메커니즘 수립
- 작가고객(글작가 및 그림작가) 98명을 대상으로 DM 발송 → 당장 못함
- 인수인계를 위한 준비"
"June 20, 2023 12:07 PM",20230619,"- PaidPoC 가격 제안 메커니즘 수립
- 작가고객(글작가 및 그림작가) 98명을 대상으로 DM 발송","- PaidPoC 가격 제안 메커니즘 수립
- 작가고객(글작가 및 그림작가) 98명을 대상으로 DM 발송","- DM 발송을 위한 프로그램 세팅
- DM 연결 링크 설문 페이지 작성
- 청강대 측에 AI 작가 JD 설명 및 전달
- 기존 canva 작업물 미리 캔버스로 옮기기 (사실상 다시 작성하기)
- 이지아트 작가용 툴 에러 수정 요구사항 전달
- 이지아트 작가용 툴 사용 주의사항 업데이트 및 전달","- PaidPoC 가격 제안 메커니즘 수립
- 작가고객(글작가 및 그림작가) 98명을 대상으로 DM 발송"
"June 14, 2023 10:40 AM",20230614~16,"- 제안서 이미지 수집
- 정성/정량적 자료 니즈 파악
- 그동안 자료 정리
- 반감에 대한 근본적 해결방안
- 배경 조절 가능여부 체크
- 테크 길드 프로세스 판단","- 제안서 이미지 수집
- 정성/정량적 자료 니즈 파악
- 그동안 자료 정리
- 반감에 대한 근본적 해결방안
- 배경 조절 가능여부 체크
- 테크 길드 프로세스 판단","- 제안서 이미지 수집
- 군소 CP사 회사 정보 조사
- 제안서 에니메이션 효과 수정
- 제안서 이미지 수정 및 업데이트
- 이지아트 작가용 툴 업데이트 전달
- DM 연결 링크 설문 페이지 작성
- 중견 미만 CP사 (10억 미만) 연락처 확보
- 중견 이상 CP사 (10억 이상) 기 확보 연락처 대조 및 기입
- 제품 가격 설정 기초 자료 준비
- B2C 측 웹소설 진행사항 공유","- PaidPoC 가격 제안 메커니즘 수립
- 작가고객(글작가 및 그림작가) 98명을 대상으로 DM 발송
"
"June 13, 2023 2:34 PM",20230613,"- 슬랙 체크
- 더 좋은 가설 검증 방식들 MVP 
- 걍젱지 조사 + 가격 조사
- 제안서 이미지 수집
- 정성/정량적 자료 니즈 파악
- 그동안 자료 정리
- 반감에 대한 근본적 해결방안
- 배경 조절 가능여부 체크
- 테크 길드 프로세스 판단","- 슬랙 체크
- 더 좋은 가설 검증 방식들 MVP 
- 걍젱지 조사
- 기존 가격 조사
- 제안서 이미지 수집
- 정성/정량적 자료 니즈 파악
- 그동안 자료 정리
- 반감에 대한 근본적 해결방안
- 배경 조절 가능여부 체크
- 테크 길드 프로세스 판단","- 슬랙 체크
- 회의 정리
- 경쟁자 조사
- 기존 가격 조사","- 제안서 이미지 수집
- 정성/정량적 자료 니즈 파악
- 그동안 자료 정리
- 반감에 대한 근본적 해결방안
- 배경 조절 가능여부 체크
- 테크 길드 프로세스 판단"
"June 12, 2023 10:47 AM",20230612,"- 슬랙체크
- 메일 체크
- 인바운드 체크
- 뉴스레터 체크
- 이지아트 대응
- 대원씨아이 전화드리기
- 주간보고서
[웹툰 기획 계획]
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 배경 조절 가능여부 체크
- 테크 길드 프로세스 판단","- 슬랙체크
- 메일 체크
- 인바운드 체크
- 뉴스레터 체크
- 이지아트 대응
- 대원씨아이 전화드리기
- 주간보고서
[웹툰 기획 계획]
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 정진님 회의 정리
- 그동안 자료 정리
- 반감에 대한 근본적 해결방안
- 배경 조절 가능여부 체크
- 테크 길드 프로세스 판단","- 슬랙체크
- 메일 체크
- 인바운드 체크
- 뉴스레터 체크
- 오늘 할일 다시 파악
- 이지아트 대응
- 대원씨아이 전화드리기
- 정진님 회의 정리
- weekly sprint 정리
- 주간보고서
- 신제품 전략을 위한 가설의 필요충분조건 집합
","- 슬랙 체크
- 정성/정량적 자료 니즈 파악
- 그동안 자료 정리
- 반감에 대한 근본적 해결방안
- 배경 조절 가능여부 체크
- 테크 길드 프로세스 판단"
"June 9, 2023 10:36 AM",20230609,"- 회의정리
- AI 작가들에게 뿌리기
- 준형님 면접 확인
- 콜드콜 수싲 넞옵 연동
- 이지아트 슬랙채널 개설 후 공유
- BIMM 논의결과 전달
- AI 작가 마일스톤 작성
- 경쟁자 리서치
- KPT
- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- AI작가 운영계획 스케줄링
- AI작가 구인 추가로 더 올리기
- 경쟁자 분석
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단","- 회의정리
- AI 작가들에게 뿌리기
- 준형님 면접 확인
- 콜드콜 수신 정보 연동
- 이지아트 슬랙채널 개설 후 공유
- BIMM 논의결과 전달
- KPT
- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- AI작가 운영계획 스케줄링
- AI작가 구인 추가로 더 올리기
- 경쟁자 분석
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단","- 회의 정리
- 준형님 면접 확인
- 콜드콜 수신 정보 연동
- AI 작가 JD 수정
- BIMM 논의결과 전달
- 슬랙체크
- 공유문서 체크","- AI 작가들에게 뿌리기
- 이지아트 슬랙채널 개설 후 공유
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 경쟁자 리서치
- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- AI작가 운영계획 스케줄링
- AI작가 구인 추가로 더 올리기
- 경쟁자 분석
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단"
"June 9, 2023 3:47 PM",20230608,"- AI작가와의 미팅
- BIMM 과의 협업 방안 회의
- 콜드콜 준비
- CJ 미팅 준비
- AI 작가 공유페이지 준비
- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- AI작가 운영계획 스케줄링
- AI작가 구인 추가로 더 올리기
- 경쟁자 분석
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단","- AI작가와의 미팅
- BIMM 과의 협업 방안 회의
- 콜드콜 준비
- CJ 미팅 준비
- AI 작가 공유페이지 준비
- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- AI작가 운영계획 스케줄링
- AI작가 구인 추가로 더 올리기
- 경쟁자 분석
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단","- AI작가와의 미팅
- BIMM 과의 협업 방안 회의
- 콜드콜 준비
- CJ 미팅 준비
- AI 작가 공유페이지 준비","- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- AI작가 운영계획 스케줄링
- AI작가 구인 추가로 더 올리기
- 경쟁자 분석
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단"
"June 7, 2023 11:16 AM",20230607,"- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 웹라이터스 대응
- BIMM 대응
- 준형님과 이야기
- 대원씨아이 논의내용 정리 및 공유
- 저저번주 주간보고서
- 주간보고서
- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- AI작가 운영계획 스케줄링
- AI작가 구인 추가로 더 올리기
- 경쟁자 분석
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단","- B2B 길드 Todo 대시보드 정리
- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 웹라이터스 대응
- BIMM 대응
- 이지아트 컨택
- 대원씨아이 논의내용 정리 및 공유
- 저저번주 주간보고서
- 주간보고서
- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- AI작가 운영계획 스케줄링
- AI작가 구인 추가로 더 올리기
- 경쟁자 분석
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단","- B2B 길드 Todo 대시보드 정리
- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 웹라이터스 대응
- BIMM 대응
- 대원씨아이 논의내용 정리 및 공유
- 이지아트 컨택
- 저저번주 주간보고서
- 주간보고서","- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- AI작가 운영계획 스케줄링
- AI작가 구인 추가로 더 올리기
- 경쟁자 분석
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단"
"June 5, 2023 2:54 PM",20230605,"- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 대원씨아이 대응
- CJ 대응
- 이지아트 링크 전달
- 저저번주 주간보고서
- 주간보고서
- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- AI작가 운영계획 스케줄링
- AI작가 구인 추가로 더 올리기
- 경쟁자 분석
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단","- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 대원씨아이 대응
- CJ 대응
- 이지아트 링크 전달
- 저저번주 주간보고서
- 주간보고서
- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- AI작가 운영계획 스케줄링
- AI작가 구인 추가로 더 올리기
- 경쟁자 분석
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단","- 슬랙체크
- 메일 체크
- 인바운드 대응
- 온에어스튜디오 기능 확인
- 뉴스레터 체크
- 대원씨아이 대응
- CJ 대응
- 이지아트 링크 전달","- 저저번주 주간보고서
- 주간보고서
- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- AI작가 운영계획 스케줄링
- AI작가 구인 추가로 더 올리기
- 경쟁자 분석
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단"
"June 2, 2023 2:46 PM",20230602,"- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 주간보고서
- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- 콜드메일 준비하고 보내기
- AI작가 운영계획 스케줄링
- 경쟁자 분석
- KPT
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단","- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 주간보고서
- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- 콜드메일 준비하고 보내기
- AI작가 운영계획 스케줄링
- KPT
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단","- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 콜드메일 준비하고 보내기
- KPT","- 경쟁자 분석
- 주간보고서
- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- AI작가 운영계획 스케줄링
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단"
"June 1, 2023 11:25 AM",20230601,"- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- CP사 리스트 다시 보완
- 주간보고서
- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- 매력적인 콜드메일 문구
- AI작가 운영계획 스케줄링","- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- CP사 리스트 다시 보완
- 콜드메일을 위한 표지 반응 미리 체크하기","- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 웹툰 제작 비스무리한 업무 하는 곳 리스트가 어디에 있는가
- 콜드메일을 위한 표지 반응 미리 체크하기
","- 주간보고서
- 배경 조절 가능여부 체크
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- 매력적인 콜드메일 문구
- AI작가 운영계획 스케줄링- 경쟁자 분석
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단
- KPT"
"May 30, 2023 11:30 AM",20230530,"- 화이트닝 후속대응
- 웹툰 작가님께 웹소설 어디까지 부탁하는 게 좋을까
- 슬랙체크
- 메일체크
- 인바운드 대응
- 뉴스레터 체크
- 이지아트 작가님 개발 상황 체크
- CP사 리스트 다시 보완
- 주간보고서
- 배경 조절 가능여부 체크
- 매력적인 콜드메일 문구
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단
- 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기","- 화이트닝 후속대응
- 청강대 JD 다시 확인 → 웹소설 직무가 포함되어 있는가
- AI 작가 JD 문제 from 원티드긱스
- 웹툰 작가님께 웹소설 어디까지 부탁하는 게 좋을까
- 슬랙체크
- 메일체크
- 인바운드 대응
- 뉴스레터 체크
- 이지아트 작가님 개발 상황 체크
- CP사 리스트 다시 보완
- 주간보고서
- 배경 조절 가능여부 체크
- 매력적인 콜드메일 문구
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기","- 화이트닝 후속대응
- 청강대 JD 다시 확인 → 웹소설 직무가 포함되어 있는가
- AI 작가 JD 문제 from 원티드긱스
- 웹툰 작가님께 웹소설 어디까지 부탁하는 게 좋을까
- 슬랙체크
- 메일 체크
- 뉴스레터 체크
- 이지아트 작가님 개발 상황 체크
- CP사 리스트 보완","- 인바운드 대응
- CP사 리스트 다시 보완
- 주간보고서
- 배경 조절 가능여부 체크
- 매력적인 콜드메일 문구
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단
- 웹소설에 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기"
"May 26, 2023 11:14 AM",20230526,"- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 계약서 전달
- CP사 컨택포인트
- KPT
- 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- 배경 조절 가능여부 체크
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단","- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 계약서 전달
- CP사 컨택포인트
- KPT
- 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- 배경 조절 가능여부 체크
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단","- 슬랙체크
- 메일 체크
- 인바운드 대응
- 뉴스레터 체크
- 계약서 승제님께 확인 후 전달하기
- CP사 컨택포인트
- KPT","- 얼마만큼 리소스를 쏟는 것이 적절한지 미리 계산하기
- 배경 조절 가능여부 체크
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단"
"May 25, 2023 11:06 AM",20230525,"- 슬랙 체크
- 매일 체크
- 인바운드 대응
- 뉴스레터 체크
- 채용 세부사항 전달
- 어떤 것들이 가능한지 파악
- CP사 사업 영역 체크
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단
- 신제품 전략을 위한 가설의 필요충분조건 집합","- 슬랙 체크
- 매일 체크
- 인바운드 대응
- 뉴스레터 체크
- 채용 세부사항 전달
- 어떤 것들이 가능한지 파악
- CP사 사업 영역 체크
- BIMM 협력 제안 부분 확인
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단","- 슬랙체크
- 매일 체크
- 인바운드 대응
- 뉴스레터 체크
- 채용 세부사항 전달
- CP사 사업 영역 체크
- BIMM 협력 제안 부분 확인
- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 어떤 것들이 가능한지 파악","- 신제품 전략을 위한 가설의 필요충분조건 집합
- 정성/정량적 자료 니즈 파악
- 테크 길드 프로세스 판단"
